Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
420,0.0001154,0.0003968,3.992,7.436,79.2
421,0.0001164,0.0003985,4.405,8.646,83.44
422,0.00011,0.0003994,4.207,7.895,84.85
423,0.0001105,0.0003939,4.373,8.377,83.44
424,0.0001168,0.0003946,4.603,9.2,80.61
425,0.0001178,0.0003995,4.472,8.39,82.02
426,0.0001155,0.0003966,4.55,8.857,84.85
427,0.0001178,0.0003961,4.207,8.078,70.71
428,0.0001142,0.0004006,3.878,7.471,80.61
429,0.0001146,0.0004014,4.296,8.093,80.61
430,0.0001162,0.0003975,4.455,9.28,83.44
431,0.0001174,0.0004021,4.642,9.089,74.95
432,0.0001149,0.0003993,4.589,9.763,83.44
433,0.0001139,0.0003953,4.055,7.871,72.12
434,0.0001179,0.0003992,4.444,8.535,83.44
435,0.0001177,0.0003965,4.451,8.196,83.44
436,0.0001161,0.0003959,4.419,8.948,86.27
437,0.0001159,0.0003983,5.013,9.881,77.78
438,0.0001187,0.0003966,5.335,10.97,82.02
439,0.0001165,0.000401,4.441,8.284,79.2
440,0.0001191,0.0003988,4.494,8.523,80.61
441,0.0001148,0.0003988,4.402,8.171,76.37
442,0.0001199,0.0004015,4.225,8.225,80.61
443,0.0001126,0.0003962,4.561,8.967,77.78
444,0.0001142,0.0003989,4.299,8.313,83.44
445,0.0001146,0.0003998,4.621,9.355,83.44
446,0.0001144,0.0003964,4.656,9.244,74.95
447,0.0001135,0.000401,4.458,8.611,77.78
448,0.0001114,0.0003971,4.373,9.123,79.2
449,0.0001119,0.000401,3.829,7.24,74.95
450,0.0001135,0.0004002,4.087,7.27,76.37
451,0.0001179,0.0003995,4.2,7.594,72.12
452,0.0001169,0.0003952,4.748,9.402,84.85
453,0.0001126,0.0003963,4.264,8.847,87.68
454,0.0001166,0.0003989,4.267,8.067,80.61
455,0.0001183,0.0003955,4.218,7.209,74.95
456,0.0001125,0.0003979,4.282,8.939,83.44
457,0.0001139,0.0003953,4.228,7.342,83.44
458,0.0001159,0.0003924,4.087,7.776,74.95
459,0.0001174,0.0003959,4.734,9.4,83.44
460,0.0001168,0.0004013,4.419,8.779,83.44
461,0.0001121,0.0004005,4.416,8.663,73.54
462,0.0001174,0.0004006,4.317,7.965,76.37
463,0.0001129,0.0004015,4.522,9.023,83.44
464,0.0001165,0.000398,4.317,8.319,77.78
465,0.0001162,0.0004014,4.745,9.876,83.44
466,0.0001171,0.0003966,4.405,8.83,83.44
467,0.0001148,0.0003982,4.522,8.262,79.2
468,0.0001149,0.0003942,4.847,9.807,79.2
469,0.0001156,0.0003898,4.137,8.257,83.44
470,0.0001171,0.0004034,4.522,8.426,77.78
471,0.0001119,0.0003988,4.193,7.636,73.54
472,0.0001147,0.0003945,4.221,8.342,82.02
473,0.0001151,0.0004058,4.306,8.089,76.37
474,0.0001147,0.0003963,4.416,8.342,70.71
475,0.0001125,0.0003975,3.939,7.46,83.44
476,0.0001165,0.0004048,4.614,9.685,83.44
477,0.0001154,0.0004006,4.692,8.79,73.54
478,0.0001167,0.0003942,4.416,8.516,83.44
479,0.0001152,0.0003999,4.501,7.924,60.81
480,0.0001174,0.0003924,4.069,8.482,83.44
481,0.0001135,0.0003914,4.423,8.771,84.85
482,0.0001165,0.000402,4.2,8.153,83.44
483,0.0001173,0.0003951,4.084,7.657,77.78
484,0.0001151,0.0004007,4.232,7.589,74.95
485,0.0001171,0.0003966,4.547,9.38,84.85
486,0.0001141,0.0003931,4.264,8.258,82.02
487,0.000115,0.0003929,4.14,8.708,82.02
488,0.000111,0.0003946,4.624,9.66,83.44
489,0.0001133,0.0003983,4.494,9.179,84.85
490,0.0001119,0.0003995,3.797,7.26,76.37
491,0.0001135,0.0004,4.805,9.86,83.44
492,0.0001138,0.0003992,4.437,8.854,84.85
493,0.0001145,0.0003949,4.518,9.693,76.37
494,0.0001136,0.0003965,4.335,8.078,83.44
495,0.0001169,0.0003957,3.924,6.282,50.91
496,0.0001152,0.0003973,3.801,5.88,73.54
497,0.0001179,0.0003966,4.48,8.664,79.2
498,0.0001154,0.0003992,4.847,9.037,74.95
499,0.0001128,0.0003976,4.296,8.651,74.95
500,0.0001119,0.0003982,4.023,8.041,83.44
501,0.0001145,0.0003991,4.391,9.336,82.02
502,0.0001148,0.0003991,4.239,7.559,80.61
503,0.0001143,0.0004016,4.338,8.032,67.88
504,0.0001137,0.0003995,4.861,9.486,73.54
505,0.0001127,0.0004017,4.593,8.663,84.85
506,0.000116,0.0004008,4.112,8.033,82.02
507,0.0001151,0.0003995,4.561,9,79.2
508,0.0001179,0.0003989,4.225,8.212,82.02
509,0.0001161,0.0003965,4.034,7.561,67.88
510,0.0001193,0.0004012,4.72,9.445,82.02
511,0.0001159,0.0003966,3.73,6.873,79.2
512,0.0001138,0.0003978,4.381,7.822,62.23
513,0.0001152,0.0004011,4.25,7.77,82.02
514,0.0001145,0.0003943,4.43,8.737,82.02
515,0.000117,0.0004003,4.515,8.58,84.85
516,0.0001131,0.0003962,4.045,7.428,80.61
517,0.0001147,0.0004012,4.639,8.973,84.85
518,0.0001121,0.0003978,4.253,8.093,82.02
519,0.0001159,0.0004019,4.61,9.361,83.44
520,0.0001152,0.0003992,4.186,8.022,82.02
521,0.0001166,0.0003973,4.345,7.678,82.02
522,0.0001142,0.0003995,4.96,10.19,83.44
523,0.0001143,0.0003964,4.533,9.069,82.02
524,0.0001184,0.0003986,4.78,9.659,84.85
525,0.0001146,0.0003968,4.536,8.562,82.02
526,0.0001176,0.0003976,4.49,9.522,77.78
527,0.0001173,0.0003984,4.483,8.71,83.44
528,0.0001132,0.0004022,4.476,8.899,77.78
529,0.0001158,0.0003997,4.373,8.368,82.02
530,0.000113,0.0003964,4.617,8.574,83.44
531,0.0001145,0.0003957,4.745,8.999,83.44
532,0.0001148,0.0004014,4.607,8.859,77.78
533,0.0001117,0.0003975,3.946,6.976,72.12
534,0.0001153,0.0003988,4.444,8.632,83.44
